text,label
What is the nutritional value of a large egg?,NUTRITION_LOOKUP
What's the carb count for a slice of whole grain pizza crust?,NUTRITION_LOOKUP
What's the vitamin A content of a sweet potato?,NUTRITION_LOOKUP
What's the nutritional value of spinach?,NUTRITION_LOOKUP
How many calories are in a slice of pumpkin pie?,NUTRITION_LOOKUP
Can you tell me the fat content in avocado oil?,NUTRITION_LOOKUP
Can I get the protein amount in 1 cup of Greek yogurt?,NUTRITION_LOOKUP
How many carbs are in a slice of whole wheat bread?,NUTRITION_LOOKUP
How many calories are in a glass of skim milk?,NUTRITION_LOOKUP
What's the sodium content of a can of diced tomatoes?,NUTRITION_LOOKUP
How many carbs are in a serving of lentils?,NUTRITION_LOOKUP
How many grams of fiber are in a serving of broccoli?,NUTRITION_LOOKUP
What is the fat content of almonds per ounce?,NUTRITION_LOOKUP
Can you tell me the protein content of lean beef?,NUTRITION_LOOKUP
How many grams of fiber are in a serving of mixed berries?,NUTRITION_LOOKUP
How much sugar is in a single serving of ice cream?,NUTRITION_LOOKUP
Can you calculate the calories in a McDonald's burger?,NUTRITION_LOOKUP
Can you tell me the fat content of a tablespoon of coconut oil?,NUTRITION_LOOKUP
Can you give me the nutritional info for a large order of fries?,NUTRITION_LOOKUP
Are turkey burgers high in protein?,NUTRITION_LOOKUP
Can you give me the nutrition facts for a cup of cooked quinoa?,NUTRITION_LOOKUP
How much sodium is in a serving of soy sauce?,NUTRITION_LOOKUP
Can you tell me the calorie count for a large pizza?,NUTRITION_LOOKUP
How many calories are in a small hamburger patty?,NUTRITION_LOOKUP
How many calories are in a bagel with cream cheese and lox?,NUTRITION_LOOKUP
How many calories are in a small serving of peanut butter?,NUTRITION_LOOKUP
How many carbs are in a slice of cake?,NUTRITION_LOOKUP
What is the iron content of spinach leaves?,NUTRITION_LOOKUP
How many grams of protein are in cottage cheese?,NUTRITION_LOOKUP
How many calories are in a cup of oatmeal?,NUTRITION_LOOKUP
Can you tell me the protein content of eggs?,NUTRITION_LOOKUP
What's the protein level in Greek yogurt?,NUTRITION_LOOKUP
How many grams of sodium are in a can of tuna?,NUTRITION_LOOKUP
What's the vitamin D content of fatty fish?,NUTRITION_LOOKUP
How much cholesterol is in a plate of shrimp?,NUTRITION_LOOKUP
What is the fat content of a 3-ounce serving of salmon?,NUTRITION_LOOKUP
Can I get the potassium amount in sweet potato?,NUTRITION_LOOKUP
Are there any allergens in peanut butter?,NUTRITION_LOOKUP
What's the protein content of salmon fillet?,NUTRITION_LOOKUP
How many grams of sodium are in a can of black beans?,NUTRITION_LOOKUP
What is the sugar level in a can of soda?,NUTRITION_LOOKUP
How many calories are in a large bagel with cream cheese?,NUTRITION_LOOKUP
How much fiber is in an avocado?,NUTRITION_LOOKUP
What's the sodium content of a serving of pickles?,NUTRITION_LOOKUP
How many grams of sugar are in a can of soda?,NUTRITION_LOOKUP
Is there potassium in an avocado?,NUTRITION_LOOKUP
What's the protein content of lean ground beef?,NUTRITION_LOOKUP
How much fiber is in a cup of oats?,NUTRITION_LOOKUP
Can I get the nutrition facts for a cup of cooked oatmeal?,NUTRITION_LOOKUP
Are there any artificial colors in fruit snacks?,NUTRITION_LOOKUP
What is the carbohydrate count in a cup of oatmeal?,NUTRITION_LOOKUP
What's the sodium level in a packet of instant noodles?,NUTRITION_LOOKUP
What's the sodium level in a can of black beans?,NUTRITION_LOOKUP
What's the fiber content of cooked quinoa?,NUTRITION_LOOKUP
How much caffeine in 1 shot espresso?,NUTRITION_LOOKUP
How much potassium is in a banana?,NUTRITION_LOOKUP
What's the protein level of a cup of cottage cheese?,NUTRITION_LOOKUP
What is the iron content of beef strips?,NUTRITION_LOOKUP
What is the sugar content of pineapple juice?,NUTRITION_LOOKUP
