text,label
Give me the vitamin A content in carrots per serving and are they good for eye health?,BOTH
Give me the calorie count of a large serving of granola and can I eat it as a snack?,BOTH
Is ginger safe for someone with obesity?,HEALTH_ADVICE
What is the difference between Ruby and Rails?,NONE
Can you explain the concept of a wormhole in physics?,NONE
What's the iron content of kidney beans?,NUTRITION_LOOKUP
Is it safe to combine conventional medicine with acupuncture and herbal remedies?,HEALTH_ADVICE
How many calories are in a slice of cheesecake and can I eat it on a low-fat diet?,BOTH
How many grams of protein are in cottage cheese?,NUTRITION_LOOKUP
Can you tell me the nutritional information for a serving of cooked spaghetti?,NUTRITION_LOOKUP
What's the vitamin B12 count of salmon and can I use it as a natural remedy for fatigue?,BOTH
Is there fiber in a serving of broccoli?,NUTRITION_LOOKUP
Who was the first person to walk on the moon?,NONE
What are the best ways to manage stress through food choices?,HEALTH_ADVICE
"Will there be a sequel to the game "" Portal 2""?",NONE
What is the largest mountain range in the world?,NONE
Is it going to be a hot summer this year?,NONE
How much protein is in a cup of cottage cheese?,NUTRITION_LOOKUP
What are some natural remedies to reduce stress and anxiety caused by work-related pressures?,HEALTH_ADVICE
Do you know who was the lead singer of the rock band Guns N' Roses?,NONE
How much protein is in a cup of cooked quinoa?,NUTRITION_LOOKUP
Give me the calorie count of a medium avocado and will it help lower my bad cholesterol levels?,BOTH
How many carbs are in a slice of whole wheat bread and should it be avoided by diabetics?,BOTH
"Give me the fat content of avocado, and tell me if it's suitable for a low-fat diet",BOTH
Will gluten free bread help alleviate symptoms of irritable bowel syndrome?,HEALTH_ADVICE
Will it be cloudy in Tokyo tomorrow?,NONE
"Who created the popular video game ""Minecraft""?",NONE
Is it possible to learn programming at age 60?,NONE
How does a low-oxalate diet affect individuals with kidney stones?,HEALTH_ADVICE
How do I install the pandas library in Python?,NONE
Who won the Nobel Prize in Physics last year?,NONE
Will switching to a plant-based diet improve my mental health?,HEALTH_ADVICE
Can you guide me to London?,NONE
How many hours are there in a non-leap year?,NONE
What foods should I avoid with high cholesterol?,HEALTH_ADVICE
What's the sugar content of orange juice and is it safe for diabetics to consume in moderation?,BOTH
Is there sugar in Greek yogurt?,NUTRITION_LOOKUP
What are some healthy snack options for someone with high blood pressure?,HEALTH_ADVICE
"Who is the author of the book ""To Kill a Mockingbird""?",NONE
What are some benefits of eating probiotic-rich foods for gut health?,HEALTH_ADVICE
What's the best way to manage polycystic ovary syndrome (PCOS) through diet?,HEALTH_ADVICE
Can you tell me the sodium level in a serving of almonds?,NUTRITION_LOOKUP
Is soy safe for someone with kidney disease?,HEALTH_ADVICE
Can a mindfulness-based approach help alleviate symptoms of anxiety and depression?,HEALTH_ADVICE
Can you write a Java program to solve a Rubik's Cube puzzle?,NONE
How much calorie is in spinach exactly?,NUTRITION_LOOKUP
What is the main difference between a CPU and a GPU?,NONE
Give me the vitamin C in oranges and tell me if it helps with immune function,BOTH
Give me the potassium value for a portion of peanut butter.,NUTRITION_LOOKUP
Can a plant-based diet improve mental clarity?,HEALTH_ADVICE
How does a CPU cache work?,NONE
What are the nutritional benefits of green tea and how many cups should I drink per day?,BOTH
How many grams of protein are in a serving of Greek yogurt?,NUTRITION_LOOKUP
How do I calculate the factorial of a number in mathematics?,NONE
How can I improve my mental clarity through nutrition and lifestyle changes?,HEALTH_ADVICE
What's the carb content of a small bagel with cream cheese?,NUTRITION_LOOKUP
Will it snow on Christmas Day?,NONE
What's the fiber content of broccoli and tell it if it prevents constipation,BOTH
Can you tell me the protein content of eggs?,NUTRITION_LOOKUP
