text,label
What role does the vitamin C in sardines play for people with low blood pressure?,BOTH
Are there foods that worsen elevated LDL cholesterol?,HEALTH_ADVICE
Is peanuts recommended or not recommended for osteoporosis?,HEALTH_ADVICE
Is the omega-6 fatty acids level in olive oil appropriate for someone with hypertension?,BOTH
Does ginger increase cancer risk?,HEALTH_ADVICE
Is brown rice high in calories?,NUTRITION_LOOKUP
What foods help reduce symptoms of hypothyroidism?,HEALTH_ADVICE
What are the carbohydrates levels in tempeh?,NUTRITION_LOOKUP
I need the vitamin A count for sweet potatoes.,NUTRITION_LOOKUP
What role does the vitamin C in olive oil play for people with depression?,BOTH
How much omega-3 fatty acids is there in one serving of green peas?,NUTRITION_LOOKUP
Diet recommendations for high cholesterol patients?,HEALTH_ADVICE
"For hyperthyroidism management, how much flaxseeds can I eat given its calcium content?",BOTH
What is the phosphorus breakdown for whole wheat bread?,NUTRITION_LOOKUP
How much sugar is in 100 grams of dark chocolate and is that good for PCOS?,BOTH
What is the exact selenium in a handful of peanuts?,NUTRITION_LOOKUP
Is mozzarella recommended or not recommended for celiac disease?,HEALTH_ADVICE
Can people with polycystic ovary syndrome eat pumpkin seeds?,HEALTH_ADVICE
Should someone with celiac disease eat mozzarella given its vitamin B12 content?,BOTH
"What nutrients does chicken breast contain, and are those nutrients beneficial for high cholesterol?",BOTH
How many grams of potassium are in cashews?,NUTRITION_LOOKUP
Is blueberries recommended or not recommended for hypertension?,HEALTH_ADVICE
"What is the fiber content of chicken breast, and should a patient with high blood pressure eat it?",BOTH
What role does the thiamine in garlic play for people with elevated LDL cholesterol?,BOTH
Is the zinc content of sweet potatoes beneficial or harmful for high blood pressure?,BOTH
How many calories are in strawberries and is it safe for hypothyroidism?,BOTH
Are there foods that worsen high cholesterol?,HEALTH_ADVICE
"How much calcium is in chicken breast, and is it safe for someone with high blood pressure?",BOTH
Is mozzarella high in cholesterol?,NUTRITION_LOOKUP
Should someone with polycystic ovary syndrome limit dairy intake?,HEALTH_ADVICE
What is the exact omega-3 fatty acids in a handful of quinoa?,NUTRITION_LOOKUP
How does plain yogurt's vitamin A level relate to elevated LDL cholesterol?,BOTH
What fruits are safe for hypertension patients?,HEALTH_ADVICE
Is quinoa high in phosphorus?,NUTRITION_LOOKUP
Does celery have a lot of vitamin C?,NUTRITION_LOOKUP
Does almonds have a lot of vitamin D?,NUTRITION_LOOKUP
What is the fiber macro for tofu?,NUTRITION_LOOKUP
Does pinto beans have a lot of niacin?,NUTRITION_LOOKUP
How rich is grapes in niacin?,NUTRITION_LOOKUP
What is the total total fat per 200 calories worth of cabbage?,NUTRITION_LOOKUP
What snacks are suitable for someone with gluten intolerance?,HEALTH_ADVICE
Is tofu recommended for diabetes? What is its protein content per serving?,BOTH
What dietary changes help with irritable bowel syndrome?,HEALTH_ADVICE
